mep_identifier,mep_honorific_prefix,mep_given_name,mep_family_name,mep_official_given_name,mep_official_family_name,country,political_group,political_group_abb,national_political_group,mep_gender,mep_citizenship,mep_place_of_birth,mep_birthday,mep_death_date,age,mep_image,mep_email,mep_homepage,mep_twitter,mep_facebook_page,mep_facebook_profile,mep_instagram,mep_URI
197648,Mr,Alexander,Bernhuber,,,Austria,Group of the European People's Party (Christian Democrats),EPP,Österreichische Volkspartei,male,Austria,St. Polten,5/18/1992 0:00,,31,https://www.europarl.europa.eu/mepphoto/197648.jpg,alexander.bernhuber@europarl.europa.eu,https://www.alex-bernhuber.at/,,https://www.facebook.com/alexbernhuber/,,https://www.instagram.com/alex_bernhuber/,https://data.europarl.europa.eu/person/197648
197667,Ms,Barbara,Thaler,,,Austria,Group of the European People's Party (Christian Democrats),EPP,Österreichische Volkspartei,female,Austria,Kufstein,2/16/1982 1:00,,41,https://www.europarl.europa.eu/mepphoto/197667.jpg,barbara.thaler@europarl.europa.eu,https://www.barbara-thaler.at/de/,,https://www.facebook.com/BarbaraMThaler/,,https://www.instagram.com/thalerbarbara/,https://data.europarl.europa.eu/person/197667
204368,Mr,Christian,Sagartz,,,Austria,Group of the European People's Party (Christian Democrats),EPP,Österreichische Volkspartei,male,Austria,Wiener Neustadt,1/16/1981 1:00,,42,https://www.europarl.europa.eu/mepphoto/204368.jpg,christian.sagartz@europarl.europa.eu,https://www.christiansagartz.at/,,https://www.facebook.com/sagartzchristian,,,https://data.europarl.europa.eu/person/204368
190713,Mr,Lukas,Mandl,,,Austria,Group of the European People's Party (Christian Democrats),EPP,Österreichische Volkspartei,male,Austria,Wien,12/7/1979 0:00,,43,https://www.europarl.europa.eu/mepphoto/190713.jpg,lukas.mandl@europarl.europa.eu,http://www.lukasmandl.eu/,https://twitter.com/lukasmandl,https://www.facebook.com/lukasmandl.eu,,https://www.instagram.com/lukasmandl/,https://data.europarl.europa.eu/person/190713
197656,Ms,Simone,Schmiedtbauer,,,Austria,Group of the European People's Party (Christian Democrats),EPP,Österreichische Volkspartei,female,Austria,GRAZ,8/6/1974 1:00,,48,https://www.europarl.europa.eu/mepphoto/197656.jpg,simone.schmiedtbauer@europarl.europa.eu,https://www.simone-schmiedtbauer.at/,,https://www.facebook.com/SchmiedtbauerSimone/,,https://www.instagram.com/simone.schmiedtbauer/,https://data.europarl.europa.eu/person/197656
197652,Ms,Angelika,Winzig,,,Austria,Group of the European People's Party (Christian Democrats),EPP,Österreichische Volkspartei,female,Austria,Attnang-Puchheim,9/5/1963 1:00,,59,https://www.europarl.europa.eu/mepphoto/197652.jpg,angelika.winzig@europarl.europa.eu,https://www.angelika-winzig.at/,https://twitter.com/AngelikaWinzig,https://www.facebook.com/angelika.winzig/,,https://www.instagram.com/angelika.winzig/,https://data.europarl.europa.eu/person/197652
4246,Mr,Othmar,Karas,,,Austria,Group of the European People's Party (Christian Democrats),EPP,Österreichische Volkspartei,male,Austria,Ybbs an der Donau,12/24/1957 1:00,,65,https://www.europarl.europa.eu/mepphoto/4246.jpg,othmar.karas@europarl.europa.eu,http://www.othmar-karas.at,https://twitter.com/othmar_karas,https://www.facebook.com/othmar.karas,,https://www.instagram.com/othmar_karas,https://data.europarl.europa.eu/person/4246
190464,Mr,Thomas,Waitz,,,Austria,Group of the Greens/European Free Alliance,Greens-EFA,Die Grünen - Die Grüne Alternative,male,Austria,Vienna,5/16/1973 1:00,,50,https://www.europarl.europa.eu/mepphoto/190464.jpg,thomas.waitz@europarl.europa.eu,https://thomaswaitz.eu/,,,,,https://data.europarl.europa.eu/person/190464
124934,Ms,Monika,Vana,,,Austria,Group of the Greens/European Free Alliance,Greens-EFA,Die Grünen - Die Grüne Alternative,female,Austria,Wien,9/14/1969 1:00,,53,https://www.europarl.europa.eu/mepphoto/124934.jpg,monika.vana@europarl.europa.eu,,,,,,https://data.europarl.europa.eu/person/124934
197675,Ms,Sarah,Wiener,,,Austria,Group of the Greens/European Free Alliance,Greens-EFA,Die Grünen - Die Grüne Alternative,female,Austria,HALLE,8/27/1962 1:00,,60,https://www.europarl.europa.eu/mepphoto/197675.jpg,sarah.wiener@europarl.europa.eu,,,,https://www.facebook.com/sarahwienerofficial/,,https://data.europarl.europa.eu/person/197675
238674,Ms,Theresa,Bielowski,,,Austria,Group of the Progressive Alliance of Socialists and Democrats in the  European Parliament,S&D,Sozialdemokratische Partei Österreichs,female,Austria,Schawz (In Tirol),6/15/1984 0:00,,38,https://www.europarl.europa.eu/mepphoto/238674.jpg,theresa.bielowski@europarl.europa.eu,,,,,,https://data.europarl.europa.eu/person/238674
197677,Mr,Günther,Sidl,,,Austria,Group of the Progressive Alliance of Socialists and Democrats in the  European Parliament,S&D,Sozialdemokratische Partei Österreichs,male,Austria,St. Pölten,3/19/1975 1:00,,48,https://www.europarl.europa.eu/mepphoto/197677.jpg,guenther.sidl@europarl.europa.eu,https://sidl.at/,,https://www.facebook.com/sidl.guenther,,https://www.instagram.com/guenther_sidl/,https://data.europarl.europa.eu/person/197677
197670,Mr,Andreas,Schieder,,,Austria,Group of the Progressive Alliance of Socialists and Democrats in the  European Parliament,S&D,Sozialdemokratische Partei Österreichs,male,Austria,Wien,4/16/1969 1:00,,54,https://www.europarl.europa.eu/mepphoto/197670.jpg,andreas.schieder@europarl.europa.eu,,https://twitter.com/schieder,,https://www.facebook.com/andreas.schieder.eu,https://www.instagram.com/Andreas.Schieder,https://data.europarl.europa.eu/person/197670
197682,Mr,Hannes,Heide,,,Austria,Group of the Progressive Alliance of Socialists and Democrats in the  European Parliament,S&D,Sozialdemokratische Partei Österreichs,male,Austria,Bad Ischl,10/17/1966 1:00,,56,https://www.europarl.europa.eu/mepphoto/197682.jpg,hannes.heide@europarl.europa.eu,,https://twitter.com/HannesHeide,https://www.facebook.com/hannesheide.eu,,https://www.instagram.com/hannes_heide/,https://data.europarl.europa.eu/person/197682
96998,Ms,Evelyn,Regner,,,Austria,Group of the Progressive Alliance of Socialists and Democrats in the  European Parliament,S&D,Sozialdemokratische Partei Österreichs,female,Austria,Wien,1/24/1966 1:00,,57,https://www.europarl.europa.eu/mepphoto/96998.jpg,evelyn.regner@europarl.europa.eu,,https://twitter.com/Evelyn_Regner,,https://www.facebook.com/evelyn.regner,https://www.instagram.com/mep_evelyn_regner/,https://data.europarl.europa.eu/person/96998
38511,Mr,Georg,Mayer,,,Austria,Identity and Democracy Group,ID,Freiheitliche Partei Österreichs,male,Austria,Feldbach,12/10/1973 1:00,,49,https://www.europarl.europa.eu/mepphoto/38511.jpg,georg.mayer@europarl.europa.eu,,,,,,https://data.europarl.europa.eu/person/38511
125001,Mr,Harald,Vilimsky,,,Austria,Identity and Democracy Group,ID,Freiheitliche Partei Österreichs,male,Austria,Wien,7/22/1966 1:00,,56,https://www.europarl.europa.eu/mepphoto/125001.jpg,harald.vilimsky@europarl.europa.eu,,,,,,https://data.europarl.europa.eu/person/125001
198176,Mr,Roman,Haider,,,Austria,Identity and Democracy Group,ID,Freiheitliche Partei Österreichs,male,Austria,Grieskirchen,4/13/1967 1:00,,56,https://www.europarl.europa.eu/mepphoto/198176.jpg,roman.haider@europarl.europa.eu,,,,,,https://data.europarl.europa.eu/person/198176
197632,Ms,Claudia,Gamon,,,Austria,Renew Europe Group,Renew,NEOS – Das Neue Österreich,female,Austria,Feldkirch,12/23/1988 1:00,,34,https://www.europarl.europa.eu/mepphoto/197632.jpg,claudia.gamon@europarl.europa.eu,https://www.claudiagamon.eu/,https://twitter.com/dieGamon,https://www.facebook.com/diegamon,,https://www.instagram.com/diegamon,https://data.europarl.europa.eu/person/197632
197469,Ms,Assita,Kanko,,,Belgium,European Conservatives and Reformists Group,ECR,Nieuw-Vlaamse Alliantie,female,Belgium,Godyr,7/14/1980 0:00,,42,https://www.europarl.europa.eu/mepphoto/197469.jpg,assita.kanko@europarl.europa.eu,https://www.assita-kanko.be/,https://twitter.com/assita_kanko,,https://www.facebook.com/KankoAssita,https://www.instagram.com/assita_kanko/,https://data.europarl.europa.eu/person/197469
